Elements: All (Neon - Fermium)
Transitions: KL2 (Kalpha2), KL3 (Kalpha1), KM2 (Kbeta3), KM3 (Kbeta1), KM4 (Kbeta5 II), KM5 (Kbeta5 I), KN2 (Kbeta2 II), KN3 (Kbeta2 I), KN4 (Kbeta4 II), KN5 (Kbeta4 I), L2M4 (Lbeta1), L3M4 (Lalpha2), L3M5 (Lalpha1), and L3N5 (Lbeta2)
Sorted by Element

Ele.	A	Trans.	Theory (eV)	Unc. (eV)	Direct (eV)	Unc. (eV)	Blend	Ref.
Sb		L3M5	3605.10	0.98	3604.756	0.062		1d
Sb		L3N5	4101.02	0.91	4100.826	0.060	L3N4,5	1d
Te		KL2	27201.73	0.85	27201.99	0.26		1d
Te		KL3	27472.09	0.77	27472.57	0.27		1d
Te		KM2	30944.7	1.6	30944.60	0.46		1d
Te		KM3	30995.5	1.4	30995.97	0.34		1d
Te		KM4	31231.6	1.2				
Te		KM5	31241.8	1.2				
Te		KN2	31696.4	4.5	31700.76	0.72	KN2,3	1d
Te		KN3	31698.6	2.2	31700.76	0.72	KN2,3	1d
Te		KN4	31772.4	1.1				
Te		KN5	31774.0	1.1				
Te		L2M4	4029.9	1.1	4029.63	0.12		1d
Te		L3M4	3759.5	1.1	3758.79	0.15		1d
Te		L3M5	3769.73	0.99	3769.38	0.10		1d
Te		L3N5	4301.89	0.91	4301.70	0.18	L3N4,5	1d
I		KL2	28317.62	0.87	28317.52	0.67		1d
I		KL3	28611.94	0.79	28612.32	0.49		1d
I		KM2	32239.2	1.6	32239.71	0.50		1d
I		KM3	32295.1	1.4	32295.05	0.50		1d
I		KM4	32538.8	1.3				
I		KM5	32550.1	1.2				
I		KN2	33037.3	4.8	33041.7	2.6	KN2,3	1d
I		KN3	33041.8	2.6	33041.7	2.6	KN2,3	1d
I		KN4	33118.2	1.1				
I		KN5	33120.0	1.1				
I		L2M4	4221.2	1.1	4220.76	0.13		1d
I		L3M4	3926.9	1.1	3926.09	0.11		1d
I		L3M5	3938.2	1.0	3937.70	0.11		1d
I		L3N5	4508.01	0.89	4507.58	0.19	L3N4,5	1d
Xe		KL2	29458.4	3.0	29458.250	0.050		5d
Xe		KL3	29778.3	2.9	29778.78	0.10		5d
Xe		KM2	33563.0	3.6	33563.20	0.12		5d
Xe		KM3	33624.6	3.5	33624.23	0.12		5d
Xe		KM4	33876.0	3.3				
Xe		KM5	33888.6	3.3				
Xe		KN2	34408.9	6.9	34414.7	4.2	KN2,3	1d
Xe		KN3	34408	11	34414.7	4.2	KN2,3	1d
Xe		KN4	34495.4	3.2				
Xe		KN5	34497.2	3.1				
Xe		L2M4	4417.6	1.1	4417.668	0.030		12d
Xe		L3M4	4097.7	1.1	4097.378	0.030		12d
Xe		L3M5	4110.3	1.0	4110.088	0.020		12d
Xe		L3N5	4718.90	0.84				
Cs		KL2	30624.87	0.95	30625.40	0.45		1d
Cs		KL3	30972.05	0.86	30973.13	0.46		1d
Cs		KM2	34918.5	1.7	34919.68	0.58		1d
Cs		KM3	34985.8	1.5	34987.3	1.0		1d
Cs		KM4	35244.9	1.4				
Cs		KM5	35258.6	1.3				
Cs		KN2	35813.2	5.1	35821.7	3.1	KN2,3	1d
Cs		KN3	35823.0	3.8	35821.7	3.1	KN2,3	1d
Cs		KN4	35905.3	1.3				
Cs		KN5	35907.4	1.2				
Cs		L2M4	4620.0	1.1	4619.83	0.51		1d
Cs		L3M4	4272.9	1.1	4272.31	0.44		1d
Cs		L3M5	4286.6	1.0	4286.49	0.44		1d
Cs		L3N5	4935.36	0.92	4936.00	0.58	L3N4,5	1d
Ba		KL2	31816.56	0.97	31816.615	0.060		5d
Ba		KL3	32192.87	0.88	32193.262	0.070		5d
Ba		KM2	36303.9	1.7	36303.35	0.12		5d
Ba		KM3	36377.5	1.6	36377.445	0.080		5d
Ba		KM4	36644.4	1.4	36643.2	3.2		1d
Ba		KM5	36659.5	1.4	36666.0	3.2		1d
Ba		KN2	37249	16	37257.7	1.7	KN2,3	1d
Ba		KN3	37262.9	1.3	37257.7	1.7	KN2,3	1d
Ba		KN4	37347.7	5.2	37311.5	3.3	KN4,5	1d
Ba		KN5	37349.84	0.86	37311.5	3.3	KN4,5	1d
Ba		L2M4	4827.8	1.2	4827.58	0.14		1d
Ba		L3M4	4451.5	1.1	4450.94	0.12		1d
Ba		L3M5	4466.6	1.0	4466.30	0.12		1d
Ba		L3N5	5156.97	0.55	5156.58	0.19	L3N4,5	1d
La		KL2	33034.2	1.0	33034.38	0.26		1d
La		KL3	33441.62	0.91	33442.12	0.27		1d
La		KM2	37720.5	1.8	37720.60	0.68		1d
La		KM3	37800.9	1.6	37801.45	0.51		1d
La		KM4	38075.4	1.5	38074.6	3.5		1d
La		KM5	38092.1	1.4	38094.5	3.5		1d
La		KN2	38717	16	38730.3	1.3	KN2,3	1d
La		KN3	38732.9	1.4	38730.3	1.3	KN2,3	1d
La		KN4	38823.1	5.0	38828.2	3.6	KN4,5	1d
La		KN5	38825.05	0.90	38828.2	3.6	KN4,5	1d
La		L2M4	5041.2	1.2	5042.17	0.15		1d
La		L3M4	4633.8	1.1	4634.26	0.10		1,27d
La		L3M5	4650.4	1.0	4651.02	0.13		1d
La		L3N5	5383.43	0.55	5382.87	0.23	L3N4,5	1,27d
Ce		KL2	34279.6	1.0	34279.28	0.28		1d
Ce		KL3	34720.09	0.94	34720.00	0.29		1d
Ce		KM2	39172.7	1.8	39170.46	0.73		1d
Ce		KM3	39260.9	1.7	39257.77	0.37		1d
Ce		KM4	39542.1	1.5	39539.0	3.7		1d
Ce		KM5	39561.2	1.4	39557.9	3.7		1d
Ce		KN2	40220	16	40233.1	1.9	KN2,3	1d
Ce		KN3	40237.4	1.4	40233.1	1.9	KN2,3	1d
Ce		KN4	40330.4	4.7	40336.5	3.9	KN4,5	1d
Ce		KN5	40334.22	0.93	40336.5	3.9	KN4,5	1d
Ce		L2M4	5262.5	1.2	5262.93	0.41		1,28d
Ce		L3M4	4822.0	1.1	4823.17	0.34		1,28d
Ce		L3M5	4841.1	1.1	4840.06	0.31		1,28d
Ce		L3N5	5614.13	0.54	5612.67	0.42	L3N4,5	1,28d
Pr		KL2	35550.5	1.1	35550.59	0.30		1d
Pr		KL3	36026.27	0.98	36026.71	0.31		1d
Pr		KM2	40654.5	1.9	40653.27	0.99		1d
Pr		KM3	40750.9	1.8	40748.67	0.79		1d
Pr		KM4	41039.2	1.5				
Pr		KM5	41060.5	1.5				
Pr		KN2	41754	16	41774.4	4.2	KN2,3	1d
Pr		KN3	41774.3	1.4	41774.4	4.2	KN2,3	1d
Pr		KN4	41872.4	4.5				
Pr		KN5	41876.35	0.97				
Pr		L2M4	5488.7	1.2	5488.9	1.1		1d
Pr		L3M4	5012.9	1.1	5013.64	0.90		1d
Pr		L3M5	5034.3	1.1	5033.79	0.60		1d
Pr		L3N5	5850.08	0.54	5849.9	1.6	L3N4,5	1d
Nd		KL2	36848.2	1.1	36847.502	0.080		5d
Nd		KL3	37361.4	1.0	37360.739	0.070		5d
Nd		KM2	42168.5	1.9	42166.24	0.57		5d
Nd		KM3	42273.6	1.8	42270.90	0.57		5d
Nd		KM4	42569.0	1.6				
Nd		KM5	42592.8	1.5				
Nd		KN2	43322	16	43335	22	KN2,3	1d
Nd		KN3	43344.9	1.4	43335	22	KN2,3	1d
Nd		KN4	43449.2	4.2				
Nd		KN5	43452.3	1.0				
Nd		L2M4	5720.8	1.2	5721.446	0.050		3d
Nd		L3M4	5207.6	1.1	5207.7	1.1		3d
Nd		L3M5	5231.4	1.1	5230.239	0.035		3d
Nd		L3N5	6090.96	0.55	6091.25	0.26	L3N4,5	1,29,30d
Pm		KL2	38172.7	1.2	38171.55	0.70		1d
Pm		KL3	38725.6	1.1	38725.11	0.72		1d
Pm		KM2	43714.8	2.0	43712.7	9.1		1d
Pm		KM3	43829.2	1.9	43825.5	6.9		1d
Pm		KM4	44131.7	1.6				
Pm		KM5	44158.1	1.6				
Pm		KN2	44923	16	44937	24	KN2,3	1d
Pm		KN3	44948.9	1.5	44937	24	KN2,3	1d
Pm		KN4	45060.8	4.0				
Pm		KN5	45061.8	1.1				
Pm		L2M4	5959.1	1.2	5961.5	1.7		1d
Pm		L3M4	5406.1	1.1	5407.9	1.4		1d
Pm		L3M5	5432.5	1.1	5432.6	1.1		1d
Pm		L3N5	6336.23	0.59	6338.9	2.9	L3N4,5	1d
Sm		KL2	39524.3	1.2	39523.39	0.10		5d
Sm		KL3	40119.4	1.1	40118.481	0.060		5d
Sm		KM2	45293.9	2.0	45288.6	4.9		5d
Sm		KM3	45418.1	1.9	45413.0	4.9		5d
Sm		KM4	45728.1	1.8	45731.4	7.5	KM4,5	1d
Sm		KM5	45756.9	1.6	45731.4	7.5	KM4,5	1d
Sm		KN2	46530	16	46575	26	KN2,3	1d
Sm		KN3	46588.2	1.5	46575	26	KN2,3	1d
Sm		KN4	46709.1	3.8				
Sm		KN5	46706.4	1.1				
Sm		L2M4	6203.9	1.3	6204.073	0.093		3d
Sm		L3M4	5608.8	1.2	5609.053	0.061		3d
Sm		L3M5	5637.6	1.1	5635.970	0.033		3d
Sm		L3N5	6587.03	0.58	6587.17	0.14	L3N4,5	1,32d
Eu		KL2	40903.5	1.2	40902.33	0.40		1d
Eu		KL3	41543.3	1.1	41542.63	0.41		1d
Eu		KM2	46906.5	2.1	46904.0	1.3		1d
Eu		KM3	47040.8	2.0	47038.4	1.3		1d
Eu		KM4	47358.3	1.7				
Eu		KM5	47389.4	1.7				
Eu		KN2	48230	16	48256.6	2.2	KN2,3	1d
Eu		KN3	48261.1	1.5	48256.6	2.2	KN2,3	1d
Eu		KN4	48382.0	3.5				
Eu		KN5	48384.3	1.2				
Eu		L2M4	6454.8	1.2	6455.72	0.56		1,34d
Eu		L3M4	5815.0	1.2	5816.61	0.45		1,34d
Eu		L3M5	5846.1	1.1	5846.46	0.26		1,34d
Eu		L3N5	6841.01	0.59	6841.83	0.63	L3N4,5	1,34d
Gd		KL2	42309.7	1.3	42309.30	0.43		1d
Gd		KL3	42996.8	1.2	42996.72	0.44		1d
Gd		KM2	48550.5	2.1	48555.8	5.6		1d
Gd		KM3	48695.7	2.1	48696.9	5.7		1d
Gd		KM4	49020.8	1.8	49053.3	8.6	KM4,5	1d
Gd		KM5	49054.6	1.7	49053.3	8.6	KM4,5	1d
Gd		KN2	49935.3	4.7	49960.6	8.9	KN2,3	1d
Gd		KN3	49969.7	1.5	49960.6	8.9	KN2,3	1d
Gd		KN4	50090.7	3.3				
Gd		KN5	50098.6	1.2				
Gd		L2M4	6711.1	1.2	6713.4	1.1		1d
Gd		L3M4	6024.0	1.2	6024.99	0.87		1d
Gd		L3M5	6057.8	1.1	6057.37	0.88		1d
Gd		L3N5	7101.77	0.55	7103.0	1.2	L3N4,5	1d
Tb		KL2	43745.6	1.3	43744.62	0.46		1d
Tb		KL3	44482.9	1.2	44482.75	0.47		1d
Tb		KM2	50233.0	2.2	50229.8	6.0		1d
Tb		KM3	50389.1	2.2	50382.9	6.1		1d
Tb		KM4	50722.7	1.9				
Tb		KM5	50757.8	1.8				
Tb		KN2	51678.3	4.6	51724	64	KN2,3	1d
Tb		KN3	51714.0	1.6	51724	64	KN2,3	1d
Tb		KN4	51837.5	3.1				
Tb		KN5	51846.4	1.3				
Tb		L2M4	6977.1	1.3	6977.8	1.7		1d
Tb		L3M4	6239.8	1.2	6238.10	0.93		1d
Tb		L3M5	6275.0	1.1	6272.82	0.94		1d
Tb		L3N5	7363.50	0.60	7366.7	1.3	L3N4,5	1d
Dy		KL2	45209.1	1.4	45208.27	0.49		1d
Dy		KL3	45999.4	1.3	45998.94	0.51		1d
Dy		KM2	51947.7	2.3	51958.1	6.4		1d
Dy		KM3	52115.7	2.3	52119.7	6.5		1d
Dy		KM4	52457.4	1.9	52494.8	9.9	KM4,5	1d
Dy		KM5	52494.8	1.9	52494.8	9.9	KM4,5	1d
Dy		KN2	53451.7	2.9	53510	68	KN2,3	1d
Dy		KN3	53483.2	1.2	53510	68	KN2,3	1d
Dy		KN4	53619.4	2.8				
Dy		KN5	53629.4	1.3				
Dy		L2M4	7248.3	1.3	7247.80	0.44		1d
Dy		L3M4	6458.0	1.2	6457.72	0.15		1d
Dy		L3M5	6495.3	1.1	6495.27	0.15		1d
Dy		L3N5	7629.92	0.55	7635.84	0.49	L3N4,5	1d
Ho		KL2	46701.0	1.4	46699.98	0.15		8d
Ho		KL3	47547.5	1.3	47547.10	0.77		8d
Ho		KM2	53696.9	2.3	53711.3	6.9		8d
Ho		KM3	53877.5	2.4	53877.1	7.0		8d
Ho		KM4	54227.4	2.0	54247	11	KM4,5	1d
Ho		KM5	54267.1	1.9	54247	11	KM4,5	1d
Ho		KN2	55271.2	4.4	55325	73	KN2,3	1d
Ho		KN3	55312.1	1.6	55325	73	KN2,3	1d
Ho		KN4	55442.0	2.6				
Ho		KN5	55453.7	1.3				
Ho		L2M4	7526.4	1.3	7525.67	0.15		3d
Ho		L3M4	6680.0	1.2	6678.484	0.054		3d
Ho		L3M5	6719.6	1.1	6719.675	0.062		3d
Ho		L3N5	7906.26	0.55	7911.35	0.25		47d
Er		KL2	48223.0	1.5	48221.61	0.20		5d
Er		KL3	49128.7	1.4	49127.24	0.12		5d
Er		KM2	55482.3	2.4	55479.72	0.35		5d
Er		KM3	55676.3	2.4	55673.52	0.18		5d
Er		KM4	56034.5	2.0	56040	11	KM4,5	1d
Er		KM5	56076.6	2.0	56040	11	KM4,5	1d
Er		KN2	57123.3	4.3	57214	78	KN2,3	1d
Er		KN3	57167.0	1.7	57214	78	KN2,3	1d
Er		KN4	57301.1	2.3				
Er		KN5	57313.3	1.4				
Er		L2M4	7811.5	1.3	7810.19	0.42		3d
Er		L3M4	6905.8	1.2	6904.50	0.17		3d
Er		L3M5	6947.9	1.1	6947.913	0.077		3d
Er		L3N5	8184.52	0.55	8189.11	0.72	L3N4,5	1d
Tm		KL2	49773.8	1.5	49772.67	0.12		9d
Tm		KL3	50742.2	1.4	50741.475	0.092		9d
Tm		KM2	57302.8	2.5	57303.0	7.9		9d
Tm		KM3	57511.0	2.5	57508.76	0.15		9d
Tm		KM4	57877.6	2.1	57924.8	8.0	KM4,5	1d
Tm		KM5	57922.3	2.0	57924.8	8.0	KM4,5	1d
Tm		KN2	59012.3	4.3	59095	83	KN2,3	1d
Tm		KN3	59058.9	1.7	59095	83	KN2,3	1d
Tm		KN4	59197.7	2.1				
Tm		KN5	59209.8	1.5				
Tm		L2M4	8103.8	1.3	8102.265	0.037		3d
Tm		L3M4	7135.4	1.2	7133.715	0.078		3d
Tm		L3M5	7180.1	1.1	7180.113	0.029		3d
Tm		L3N5	8467.65	0.55	8468.7	1.7	L3N4,5	1d
Yb		KL2	51354.7	1.6	51354.60	0.63		1d
Yb		KL3	52389.1	1.5	52389.48	0.66		1d
Yb		KM2	59160.1	2.6	59152	42		1d
Yb		KM3	59383.3	2.7	59367.1	8.4		1d
Yb		KM4	59758.2	2.2	59782.2	8.5	KM4,5	1d
Yb		KM5	59805.4	2.1	59782.2	8.5	KM4,5	1d
Yb		KN2	60939.1	4.1	60985	89	KN2,3	1d
Yb		KN3	60988.5	1.8	60985	89	KN2,3	1d
Yb		KN4	61132.8	1.9				
Yb		KN5	61144.8	1.5				
Yb		L2M4	8403.6	1.4	8401.88	0.42		1d
Yb		L3M4	7369.1	1.3	7367.40	0.32		1d
Yb		L3M5	7416.3	1.2	7415.70	0.26		1d
Yb		L3N5	8755.69	0.55	8758.91	0.46	L3N4,5	1d
Lu		KL2	52965.3	1.7	52965.57	0.67		1d
Lu		KL3	54069.5	1.5	54070.39	0.70		1d
Lu		KM2	61051.8	2.7	61048	18		1d
Lu		KM3	61291.2	2.7	61283	13		1d
Lu		KM4	61674.4	2.2	61731.9	9.1	KM4,5	1d
Lu		KM5	61725.3	2.2	61731.9	9.1	KM4,5	1d
Lu		KN2	62903.9	4.2	62967	95	KN2,3	1d
Lu		KN3	62957.6	1.8	62967	95	KN2,3	1d
Lu		KN4	63106.5	2.5				
Lu		KN5	63119.0	1.6				
Lu		L2M4	8709.1	1.3	8709.13	0.27		1d
Lu		L3M4	7605.0	1.2	7604.92	0.35		1d
Lu		L3M5	7655.8	1.2	7655.55	0.21		1d
Lu		L3N5	9049.54	0.56	9049.01	0.29		1d
Hf		KL2	54606.4	1.7	54612.0	1.1		1d
Hf		KL3	55784.1	1.6	55790.8	1.1		1d
Hf		KM2	62980.8	2.7	62980	19		1d
Hf		KM3	63237.2	2.8	63234	14		1d
Hf		KM4	63628.8	2.3				
Hf		KM5	63683.2	2.2				
Hf		KN2	64907.3	4.3	64980	101	KN2,3	1d
Hf		KN3	64965.3	1.9	64980	101	KN2,3	1d
Hf		KN4	65119.3	2.6				
Hf		KN5	65132.6	1.7				
Hf		L2M4	9022.4	1.3	9022.80	0.49		1d
Hf		L3M4	7844.7	1.2	7844.70	0.37		1d
Hf		L3M5	7899.1	1.2	7899.08	0.37		1d
Hf		L3N5	9348.54	0.55	9347.35	0.52		1d
Ta		KL2	56278.7	1.8	56277.6	1.5		1d
Ta		KL3	57533.9	1.7	57533.2	1.6		1d
Ta		KM2	64947.7	2.8	64949.6	1.0		1d
Ta		KM3	65222.1	2.9	65223.3	2.0		1d
Ta		KM4	65622.1	2.4	65626.9	3.1		1d
Ta		KM5	65680.4	2.3	65683.6	3.1		1d
Ta		KN2	66966.8	4.3	66949.4	4.8		1d
Ta		KN3	67029.3	2.0	67013.5	4.3		1d
Ta		KN4	67242.1	2.8	67195.4	5.4	KN4,5	1d
Ta		KN5	67202.7	1.7	67195.4	5.4	KN4,5	1d
Ta		L2M4	9343.4	1.3	9343.19	0.31		1d
Ta		L3M4	8088.2	1.2	8087.93	0.16		1d
Ta		L3M5	8146.5	1.2	8146.17	0.16		1d
Ta		L3N5	9668.78	0.56	9651.89	0.22		1d
W		KL2	57981.9	1.9	57981.77	0.14		5,81d
W		KL3	59318.8	1.7	59318.847	0.050		5d
W		KM2	66952.1	2.9	66952.19	0.25		5,81d
W		KM3	67245.6	3.0	67245.0	1.1		5d
W		KM4	67654.0	2.5	67652.3	2.7		1d
W		KM5	67716.4	2.4	67715.9	3.8		1d
W		KN2	69035.5	4.6	69032.5	5.7		1d
W		KN3	69102.2	2.0	69101.3	4.0		1d
W		KN4	69267.3	3.2	69295	11	KN4,5	1d
W		KN5	69281.8	1.8	69295	11	KN4,5	1d
W		L2M4	9672.1	1.3	9672.575	0.100		1,58d
W		L3M4	8335.2	1.2	8335.34	0.17		1d
W		L3M5	8397.6	1.2	8398.242	0.054		1,58d
W		L3N5	9962.99	0.56	9964.133	0.078		1,58d
Re		KL2	59718.3	1.9	59718.57	0.43		1d
Re		KL3	61141.2	1.8	61141.00	0.89		1d
Re		KM2	68996.8	3.0	68995.2	1.7		1d
Re		KM3	69310.4	3.2	69310.3	1.7		1d
Re		KM4	69727.3	2.5	69719.6	5.8		1d
Re		KM5	69793.9	2.5	69786.3	5.8		1d
Re		KN2	71159.6	4.5	71152.0	6.0		1d
Re		KN3	71231.9	2.1	71232.1	3.6		1d
Re		KN4	71402.1	3.2	71410	12	KN4,5	1d
Re		KN5	71417.6	1.9	71410	12	KN4,5	1d
Re		L2M4	10009.0	1.4	10010.04	0.24		1d
Re		L3M4	8586.2	1.2	8586.27	0.44		1d
Re		L3M5	8652.8	1.2	8652.55	0.36		1d
Re		L3N5	10276.46	0.57	10275.35	0.50		1d
Os		KL2	61486.6	2.0	61487.27	0.90		1d
Os		KL3	62999.9	1.9	63001.07	0.95		1d
Os		KM2	71080.5	3.1	71078.1	1.8		1d
Os		KM3	71415.3	3.3	71413.9	1.8		1d
Os		KM4	71840.9	2.6	71823.8	6.2		1d
Os		KM5	71911.8	2.6	71894.7	6.2		1d
Os		KN2	73326.3	4.6	73318.9	6.4		1d
Os		KN3	73404.0	2.2	73403.2	3.9		1d
Os		KN4	73579.9	3.5	73615	13	KN4,5	1d
Os		KN5	73595.9	2.0	73615	13	KN4,5	1d
Os		L2M4	10354.3	1.4	10355.42	0.64		1d
Os		L3M4	8841.0	1.3	8841.10	0.47		1d
Os		L3M5	8911.9	1.2	8911.83	0.47		1d
Os		L3N5	10596.08	0.56	10598.7	1.1		1d
Ir		KL2	63288.1	2.1	63287.29	0.96		1d
Ir		KL3	64896.5	2.0	64896.2	1.0		1d
Ir		KM2	73204.6	3.2	73203.4	1.3		1d
Ir		KM3	73561.8	3.4	73561.7	1.3		1d
Ir		KM4	73996.1	2.7	73980	13		1d
Ir		KM5	74071.6	2.8	74075.5	5.9		1d
Ir		KN2	75530.8	4.8	75529.9	6.8		1d
Ir		KN3	75614.1	2.4	75619.3	4.8		1d
Ir		KN4	75795.7	3.8	75821	14	KN4,5	1d
Ir		KN5	75812.4	2.2	75821	14	KN4,5	1d
Ir		L2M4	10708.0	1.4	10708.35	0.41		1d
Ir		L3M4	9099.7	1.3	9099.62	0.49		1d
Ir		L3M5	9175.2	1.3	9175.18	0.30		1d
Ir		L3N5	10915.91	0.69	10920.47	0.43		1d
Pt		KL2	65122.6	2.1	65123.3	2.0		1d
Pt		KL3	66831.1	2.0	66832.9	2.1		1d
Pt		KM2	75369.1	3.3	75368.7	2.0		1d
Pt		KM3	75749.9	3.4	75749.1	2.1		1d
Pt		KM4	76193.1	2.7	76198	14		1d
Pt		KM5	76273.4	2.7	76273	21		1d
Pt		KN2	77788.0	4.8	77785.5	7.2		1d
Pt		KN3	77877.2	2.3	77878.3	7.2		1d
Pt		KN4	78064.5	3.8	78070	15	KN4,5	1d
Pt		KN5	78081.9	2.1	78070	15	KN4,5	1d
Pt		L2M4	11070.5	1.4	11070.84	0.29		1d
Pt		L3M4	9362.0	1.3	9361.96	0.21		1d
Pt		L3M5	9442.3	1.3	9442.39	0.32		1d
Pt		L3N5	11250.77	0.64	11250.66	0.45		1d
Au		KL2	66993.0	2.3	66990.73	0.22		5d
Au		KL3	68806.9	2.2	68804.50	0.18		5d
Au		KM2	77577.3	3.5	77575.01	0.61		5d
Au		KM3	77983.0	3.7	77979.80	0.38		5d
Au		KM4	78435.1	3.0	78439.0	5.1		1d
Au		KM5	78520.3	2.9	78529.5	3.7		1d
Au		KN2	80082.5	5.1	80076	15		1d
Au		KN3	80177.9	2.5	80186.2	6.9		1d
Au		KN4	80371.0	4.2	80391.1	3.9	KN4,5	1d
Au		KN5	80389.0	2.3	80391.1	3.9	KN4,5	1d
Au		L2M4	11442.0	1.4	11442.45	0.47		1d
Au		L3M4	9628.1	1.3	9628.05	0.33		1d
Au		L3M5	9713.3	1.2	9713.44	0.34		1d
Au		L3N5	11582.12	0.57	11584.75	0.48		1d
Hg		KL2	68894.3	2.3	68895.1	1.7		1d
Hg		KL3	70819.0	2.2	70819.5	1.8		1d
Hg		KM2	79824.1	3.6	79823.3	2.3		1d
Hg		KM3	80256.1	3.7	80254.2	2.3		1d
Hg		KM4	80717.1	3.0	80754	16	KM4,5	1d
Hg		KM5	80807.6	2.9	80754	16	KM4,5	1d
Hg		KN2	82425.1	5.2	82435	16		1d
Hg		KN3	82527.7	2.5	82545	16		1d
Hg		KN4	82726.0	4.2	82776	16	KN4,5	1d
Hg		KN5	82745.3	2.3	82776	16	KN4,5	1d
Hg		L2M4	11822.7	1.4	11822.70	0.83		1d
Hg		L3M4	9898.1	1.3	9897.68	0.82		1d
Hg		L3M5	9988.6	1.2	9988.91	0.60		1d
Hg		L3N5	11926.33	0.58	11924.2	1.2		1d
Tl		KL2	70832.7	2.4	70832.5	1.2		1d
Tl		KL3	72873.8	2.3	72872.5	1.3		1d
Tl		KM2	82116.0	3.7	82118.4	4.8		1d
Tl		KM3	82575.6	3.8	82576.7	4.1		1d
Tl		KM4	83045.6	3.1	83114.8	8.2	KM4,5	1d
Tl		KM5	83141.7	3.0	83114.8	8.2	KM4,5	1d
Tl		KN2	84811.8	5.3	84838.0	8.6		1d
Tl		KN3	84921.3	4.5	84948.5	8.6		1d
Tl		KN4	85125.4	4.4	85194	17	KN4,5	1d
Tl		KN5	85145.9	4.3	85194	17	KN4,5	1d
Tl		L2M4	12212.9	1.4	12213.44	0.71		1d
Tl		L3M4	10171.8	1.3	10172.91	0.37		1d
Tl		L3M5	10267.9	1.2	10268.62	0.50		1d
Tl		L3N5	12272.1	2.5	12271.71	0.54		1d
Pb		KL2	72806.6	2.5	72805.42	0.24		5d
Pb		KL3	74970.2	2.4	74970.11	0.17		5d
Pb		KM2	84451.8	3.8	84450.45	0.60		5d
Pb		KM3	84940.3	3.9	84939.08	0.34		5d
Pb		KM4	85419.7	3.2	85434	17		1d
Pb		KM5	85521.4	3.1	85535	26		1d
Pb		KN2	87244.1	5.4	87238	18		1d
Pb		KN3	87362.0	4.6	87366.9	9.1		1d
Pb		KN4	87571.0	4.4	87589	27	KN4,5	1d
Pb		KN5	87593.2	4.4	87589	27	KN4,5	1d
Pb		L2M4	12613.0	1.5	12613.80	0.57		1d
Pb		L3M4	10449.5	1.3	10449.59	0.65		1d
Pb		L3M5	10551.2	1.2	10551.60	0.27		1d
Pb		L3N5	12623.0	2.4	12622.8	1.3		1d
Bi	209	KL2	74816.8	2.6	74816.21	0.92		8d
Bi	209	KL3	77108.9	2.5	77109.2	2.2		8d
Bi	209	KM2	86831.9	3.9	86835.7	6.7		8d
Bi	209	KM3	87351.4	4.1	87344.1	3.3		8d
Bi	209	KM4	87839.7	3.3	87862.2	9.2	KM4,5	1d
Bi	209	KM5	87947.6	3.2	87862.2	9.2	KM4,5	1d
Bi	209	KN2	89723.9	5.7	89731.7	9.6		1d
Bi	209	KN3	89849.4	4.7	89861.8	9.6		1d
Bi	209	KN4	90064.5	4.7	90110	19	KN4,5	1d
Bi	209	KN5	90088.0	4.5	90110	19	KN4,5	1d
Bi	209	L2M4	13022.9	1.5	13023.65	0.18		1d
Bi	209	L3M4	10730.8	1.3	10731.06	0.14		1d
Bi	209	L3M5	10838.7	1.2	10838.94	0.28		1d
Bi	209	L3N5	12979.2	2.5	12980.00	0.80		1d
Po	209	KL2	76864.1	2.7	76864.4	7.1		1d
Po	209	KL3	79291.2	2.6	79292.9	7.5		1d
Po	209	KM2	89257.9	4.1	89247	19		1d
Po	209	KM3	89809.8	4.2	89797	19		1d
Po	209	KM4	90307.3	3.4				
Po	209	KM5	90421.5	3.3				
Po	209	KN2	92252.5	5.8	92262	20		1d
Po	209	KN3	92386.8	4.8	92400	20		1d
Po	209	KN4	92607.3	4.8				
Po	209	KN5	92632.5	4.6				
Po	209	L2M4	13443.2	1.5	13447.1	4.3		1d
Po	209	L3M4	11016.1	1.3	11015.95	0.72		1d
Po	209	L3M5	11130.3	1.2	11130.87	0.59		1d
Po	209	L3N5	13341.3	2.5	13340.5	1.1		1d
At	210	KL2	78948.5	2.8	78944	15		1d
At	210	KL3	81517.4	2.7	81514	16		1d
At	210	KM2	91729.9	4.2	91723	40		1d
At	210	KM3	92315.8	4.4	92304	41		1d
At	210	KM4	92822.6	3.5				
At	210	KM5	92943.4	3.5				
At	210	KN2	94829.1	6.0	94846	43		1d
At	210	KN3	94972.8	4.9	94991	43		1d
At	210	KN4	95198.7	4.9				
At	210	KN5	95225.8	4.8				
At	210	L2M4	13874.1	1.5	13876.2	2.1		1d
At	210	L3M4	11305.2	1.3	11304.93	0.76		1d
At	210	L3M5	11426.0	1.3	11426.94	0.78		1d
At	210	L3N5	13708.4	2.6				
Rn	222	KL2	81070.7	3.0	81066	24		1d
Rn	222	KL3	83788.6	2.8	83783	25		1d
Rn	222	KM2	94248.8	4.4	94247	53		1d
Rn	222	KM3	94870.2	4.4	94867	54		1d
Rn	222	KM4	95386.7	3.6				
Rn	222	KM5	95514.5	3.6				
